,GI Value,source table,acc,NDB_No,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_2,Refuse_Pct
GI Value,1.0,0.04677446740127236,-0.12108960614132128,0.1343380682142688,-0.3086479919866672,0.18571017424211672,-0.11577738434512141,-0.08437488626177898,-0.06965043616112145,0.4716338456305541,0.23759923782144315,0.14892492162001641,-0.23066867985062778,0.23439219242553133,0.01005762341540609,-0.10954760619441441,-0.036289558864300034,-0.005004733116645959,-0.1230904520226114,0.02559410630966034,0.02564985984901565,0.17506430172396684,-0.04492667645304504,0.2244446838721178,0.0867020062389297,0.2242574376576943,0.02769330359503986,0.05710159242470011,0.20609916543386217,0.28881429278850285,-0.006208188071417274,0.2522412754436253,0.005358937824415937,-0.07045659374944739,-0.08145237923282116,-0.07358989544936409,-0.03418270573780397,-0.07148928745248968,-0.07182294115657259,-0.018429241813410532,-0.030117273653282286,-0.09290070797609712,0.013028078269047304,-0.06759643638997628,-0.06896849448370952,-0.09761870979517617,-0.1296916915577207,-0.083870166158602,0.05964259715149999,-0.03311755493834253,-0.18055467367053527,-0.08146919781927286,-0.0836652675802952
source table,0.04677446740127236,1.0,-0.1395836495984878,-0.022755842808215302,-0.0348674386803116,0.05976698144783426,-0.07694870432798298,0.06682039093556068,-0.07027484691311706,0.0317117763475345,0.006813418073252738,0.0577472298699658,-0.03203973838609446,-0.009581822167945689,-0.01197599215507747,-0.036579055756339046,0.024200167992659723,-0.11236712222689911,-0.005465666657750015,0.042375708628347046,-0.017384779284199355,-0.07889909647956996,-0.0019409474584163558,0.12996450071467272,0.008551587600688818,0.055455495578552866,0.12228829359572349,0.11652751539386665,0.023175696145643427,0.07149877172473589,-0.04162903279349534,0.0423550421755208,-0.016180314491425072,0.008826083692247362,-0.04622804981551241,-0.03873819135274786,-0.01997256390729191,-0.029799764116154294,-0.04223757403531976,0.009668830409778716,-0.0021663939877420955,-0.031099691061322834,0.07015484987994963,0.027120572611245262,0.027068164968812668,-0.03518915616070315,0.09734956178878268,0.030776635814738308,0.008657887063279116,-0.023374615546083607,0.012464589160224984,0.05177703093714582,0.034128674763876106
acc,-0.12108960614132128,-0.1395836495984878,1.0,-0.0021653983053635494,0.01377013504012283,0.0034648595753768883,0.10276514159210688,0.028423737965967096,0.02099846451517989,-0.06942604711900804,-0.048067684255439176,-0.09918214021815894,0.15125824263613946,-0.01852692140845194,-0.06132426542219391,0.0771785770373725,-0.04305305973378003,0.033018326371576416,0.08742516684708895,-0.09563463739277919,-0.03481790871288636,0.013232072427931112,0.004352969279978452,-0.0429884367031165,0.007397055215773551,-0.05107397035456141,-0.026295962049347633,-0.02919917488694214,-0.044479483010419936,-0.05204879217724294,-0.011556905442810248,-0.05105359136145618,0.012120843303218595,-0.06212085588230379,-0.021093889723162854,-0.008395996926285532,0.00506999961736797,-0.04939707701933722,-0.030190088582327777,0.04159225150660151,-0.06094069451738975,0.1264923542635381,-0.053389917560209256,0.02836040135314259,0.028082765546296216,0.11403238576231704,0.01602658398266325,0.04382212739372271,-0.009951957431374933,0.05907438093537583,-0.08656317092119137,-0.08835546992287437,0.14912058239014378
NDB_No,0.1343380682142688,-0.022755842808215302,-0.0021653983053635494,1.0,-0.13614805138548353,0.09916858779048734,-0.041791739244704404,0.008495925984706689,0.02447534860122127,0.17255550521903704,0.0647070740355846,0.05832192177223263,-0.060880683774637505,0.03214590753476361,0.021445184474273533,0.00217109455746464,-0.059281674924661854,0.02936622929366171,-0.018463599239125505,0.041063018897192126,0.011963908685095434,-0.036086856039081336,0.014204403963298492,0.10749816693398721,-0.06482477129061202,0.11778878549807364,-0.04710297511258046,0.05084097051807037,0.017666933460740407,0.0741473776175776,-0.05238160800359556,0.039349588106591074,-0.08119752751871627,-0.05558529563833825,0.017851309154604273,-0.04790232384741865,-0.07973130944272633,0.12656549850087595,0.02390760361772719,-0.06871048409619836,-0.019238793787097183,-0.06900179414001012,0.08192231020737084,-0.11643417070043832,-0.11860710853894384,-0.043271953458985275,-0.0771094497421767,-0.007721113114922434,0.17845449890642065,-0.1355270794447238,-0.07053534462985526,-0.027262271610537812,-0.1491937472783631
Water_(g),-0.3086479919866672,-0.0348674386803116,0.01377013504012283,-0.13614805138548353,1.0,-0.9179529171200321,-0.32044049789621853,-0.5201609826215422,-0.36311307743405014,-0.768623899632628,-0.4021757746469522,-0.4068232760454272,-0.17451477320229217,-0.44190220403915825,-0.3008018889889737,-0.38276835632473366,-0.2194285914196701,-0.19997600232899937,-0.34903536940516233,-0.34990959294911106,-0.14123043710435168,-0.35796781977371617,0.059827588971517166,-0.3023655032570819,-0.37036926638199985,-0.4247275378814693,-0.2501274814622786,-0.1965513360829673,-0.29870336604584535,-0.3320013304806248,-0.08247890079722424,-0.33011202350452207,-0.13521294595815286,0.010325594288936186,0.12895046575058622,0.017724676509014603,-0.07811371681969867,0.18072920429593836,0.1296083849424981,0.09736080533427272,-0.034910620121554936,0.15423865861082728,-0.25457577794881314,-0.07159644100240194,-0.07050314766387945,0.13246032999526602,-0.40322059866183324,-0.44145042899005643,-0.36462447792863045,-0.12195014263939057,0.5451476169002769,0.20555076799235944,0.26369928563534717
Energ_Kcal,0.18571017424211672,0.05976698144783426,0.0034648595753768883,0.09916858779048734,-0.9179529171200321,1.0,0.31430311583671855,0.8098251543140219,0.2744674910083756,0.4993325732924309,0.21998648441210011,0.2641038276358544,0.1686024834474695,0.3102874312006241,0.1972031200589183,0.33521962462223825,0.10622922451422197,0.21445662643925079,0.3310126867091849,0.2563957801691646,0.058297292522137716,0.31032808418113844,-0.15024745503570902,0.2118034475833588,0.2992914243740568,0.31300410171749504,0.19081609271152628,0.14526458504759474,0.1788525071937207,0.226022014097066,0.021469952302959228,0.2060976949923216,0.17045676057249426,0.03158098023394926,-0.12089459533661748,0.05879465228773614,0.1802291832642882,-0.1682812514489515,-0.15226637117462982,-0.09850407946099553,-0.035019476438860234,-0.15683592130933602,0.33954627449117325,0.14958829408937602,0.14884544001152994,-0.1156667708998286,0.6541455438914112,0.6812064805300426,0.5219433722316421,0.21111307457003653,-0.5320219203358116,-0.13289502854164267,-0.25941139527554175
Protein_(g),-0.11577738434512141,-0.07694870432798298,0.10276514159210688,-0.041791739244704404,-0.32044049789621853,0.31430311583671855,1.0,0.21530454373902733,0.4857586549001294,-0.10671129065556222,0.011682737675839132,-0.24079331077138338,0.5657552785228815,0.19462759849777048,0.3787062339853022,0.6959918826563749,0.1726258740621811,0.336710729993621,0.6704127991023627,0.23374324359137363,0.12706138411350978,0.6525195713744009,-0.14035747940208612,0.15094141339444817,0.5681649249005766,0.2836932332121957,0.38003787000273564,0.2343533387618994,0.2352073728573896,0.023561004317161148,0.3121042183150637,0.17341451938156424,0.4126316472104696,0.45992329924211717,-0.09574793659728084,0.025577867868027727,0.11231830903153668,-0.11125795851471118,-0.11685462769972382,-0.07752519603913721,-0.009057470956765975,-0.073339938655636,0.10774106776378263,0.3217263997206943,0.3220148896190144,-0.09936977374788261,0.1604575092733031,0.22592215846520147,0.08386348842642787,0.40455232533170427,-0.21366477899493155,-0.19561857605662258,-0.16883341351524006
Lipid_Tot_(g),-0.08437488626177898,0.06682039093556068,0.028423737965967096,0.008495925984706689,-0.5201609826215422,0.8098251543140219,0.21530454373902733,1.0,0.14879208686729206,-0.059676377493187154,-0.0817242417571058,-0.04199511402213776,0.14438739724498664,0.020102896467518293,0.01845202804796653,0.2143666659471405,-0.035345527963201236,0.19022115720924995,0.21852973291017808,0.08084535751279996,-0.048191702150270584,0.12082248403776019,-0.1438375062167636,0.00313909469516294,0.10079769449032831,0.06604684640344731,0.0727024408395543,0.04140453923052452,-0.05706746320452035,-0.03121374148422287,-0.04900707228177068,-0.05513695359838276,0.1738595963341153,0.0661011867364166,-0.04849098528569397,0.16783644976674167,0.276216903677813,-0.10097339949347163,-0.11222532593212536,-0.06777786413516508,-0.07719850411187758,-0.09811492797998211,0.387376962246199,0.21551102633089492,0.21548641690612688,-0.0352340815556965,0.8210481096969836,0.8429727270771281,0.6097205788748105,0.2761541038522764,-0.3647612286229567,0.005999253114660225,-0.16278468727665915
Ash_(g),-0.06965043616112145,-0.07027484691311706,0.02099846451517989,0.02447534860122127,-0.36311307743405014,0.2744674910083756,0.4857586549001294,0.14879208686729206,1.0,0.12297350488371356,0.20736651994307123,-0.15795160533358749,0.42816486371957,0.2209798699468034,0.33357218598999044,0.5836397737705988,0.5994597984323208,0.5742022684205953,0.44233556999089946,0.2857603712368668,0.5645354476374542,0.24758686173997338,0.17666642868778162,0.1577470635656382,0.4453621001746178,0.3525496765177977,0.4050760918023567,0.26831736430943365,0.19176090032343665,0.07879314966581542,0.191939936346551,0.16299313716358338,0.1616009990311948,0.13406488165093192,0.045347849836261465,0.09368101091586364,0.09390162914246258,-0.08856401044898325,0.04706530424037472,-0.07586141097517159,0.22569545024313367,-0.023055766546822003,0.10667305447258339,0.08967237740207569,0.08958504622532909,-0.003427538553882787,0.09386249990278928,0.1504813944343915,0.09413198283140331,0.12474268712768871,-0.33449540887612933,-0.06331161292857791,-0.1435362231656757
Carbohydrt_(g),0.4716338456305541,0.0317117763475345,-0.06942604711900804,0.17255550521903704,-0.768623899632628,0.4993325732924309,-0.10671129065556222,-0.059676377493187154,0.12297350488371356,1.0,0.5221463918651548,0.6152796276549181,-0.09236960835624584,0.4465791841947393,0.20668895713290714,0.06424403841645315,0.19168669488430776,-0.02313928575148553,0.03841483526320732,0.27980644512202174,0.11991163715336536,0.1258639434001691,0.050658985007427375,0.3050787711847341,0.17009426861695326,0.35813721031939916,0.11091559478268999,0.11800877440297966,0.3076544087908044,0.4090983946047114,0.013955681371215233,0.366103803883141,-0.09202319292442052,-0.21507046147947778,-0.0979867675485759,-0.13899757248629868,-0.11738285804885315,-0.11406804362849599,-0.05236143750600217,-0.0453447267694872,0.07764795650261049,-0.10086006300185701,0.029421229690524024,-0.15764001414843043,-0.15906301102832301,-0.1059617098468475,-0.07362210372228453,-0.06647855979793146,0.035089914913289916,-0.16043698500764966,-0.3458415193992094,-0.18177818101330961,-0.15511992095855584
Fiber_TD_(g),0.23759923782144315,0.006813418073252738,-0.048067684255439176,0.0647070740355846,-0.4021757746469522,0.21998648441210011,0.011682737675839132,-0.0817242417571058,0.20736651994307123,0.5221463918651548,1.0,0.13377827399734954,-0.11542681903107951,0.371743240621071,0.3883153106673382,0.06595752618757061,0.37308320752797697,-0.07450242178541647,0.14439952673845674,0.5144373812915192,0.20239990734000968,0.1269406277790867,0.06324560772477356,0.25492547871730864,0.12311908047003538,0.4150575050982491,0.21498391029362754,0.2593533036239292,0.29256969899454893,0.16428402934222758,0.24937162634233087,0.26525785435397103,-0.02039781537295524,-0.16467569305266344,0.16173616778730351,0.005956645559126699,-0.11790190092966804,0.035277673223141445,0.2176316744641702,0.016285675560048247,0.2805560783527475,0.05828096465172309,0.15724236090177202,-0.14312087008561492,-0.14572052089530085,0.06243194855082977,-0.1423478679172628,-0.07696718277197126,0.10715807558487543,-0.1461166523681093,-0.18146588558340015,-0.2453723669706289,0.02041393159332536
Sugar_Tot_(g),0.14892492162001641,0.0577472298699658,-0.09918214021815894,0.05832192177223263,-0.4068232760454272,0.2641038276358544,-0.24079331077138338,-0.04199511402213776,-0.15795160533358749,0.6152796276549181,0.13377827399734954,1.0,-0.10130442787536259,0.07623603418818509,-0.041354302123225176,-0.1540487043794571,0.04222173254482321,-0.22579150417786506,-0.13450116487363573,0.06593296634028371,-0.025243699031054164,-0.16301278074024864,-0.029060782183742154,0.03332323117228413,-0.022229716191304066,-0.007426559918541463,0.0019887894966030867,-0.047391039500866546,-0.033474362862203594,0.10436795811225708,-0.15840498611767265,0.014206605016483161,-0.08591855040776507,-0.14068898084724626,-0.048740138416798244,-0.0707989684992317,-0.06237621584571512,-0.07959850137747965,-0.024189422598481797,0.004340546357069435,0.10760158890272396,-0.07545301706895169,0.0007502814290128684,-0.0834841279516466,-0.08456630300060315,-0.08545103232231725,0.019002458698969306,-0.0830615706551403,-0.05438994557408111,-0.09732830457832801,-0.12219254491795732,-0.031405924393406254,-0.09270951309226085
Calcium_(mg),-0.23066867985062778,-0.03203973838609446,0.15125824263613946,-0.060880683774637505,-0.17451477320229217,0.1686024834474695,0.5657552785228815,0.14438739724498664,0.42816486371957,-0.09236960835624584,-0.11542681903107951,-0.10130442787536259,1.0,0.013520966237664312,0.1159181792360956,0.768064468885735,0.007393808914624193,0.21707096083028657,0.5652194227268879,-0.0469486121703149,0.006069552179210456,0.15695286532753502,0.1524397525632957,0.02556743189929152,0.3019397141353624,-0.06105694206293619,0.1725958672133272,0.03973335087664052,0.05438556375943287,0.03581404554306334,0.0403303760839886,0.05122023843381506,0.04475600041248976,0.21888257007685089,-0.020387291883917594,0.105968062315935,0.16405604353226685,-0.07135706808071053,-0.05744431994341903,-0.05665654448485399,-0.015952928749903107,-0.019406608215427123,-0.07136842031119077,0.1312046220174427,0.13254931268245004,-0.02225946895613549,0.22403893147708998,0.09774586322548769,-0.07395002340422303,0.14981512490539534,-0.13301774692146026,-0.03841964243191702,-0.09419952263710528
Iron_(mg),0.23439219242553133,-0.009581822167945689,-0.01852692140845194,0.03214590753476361,-0.44190220403915825,0.3102874312006241,0.19462759849777048,0.020102896467518293,0.2209798699468034,0.4465791841947393,0.371743240621071,0.07623603418818509,0.013520966237664312,1.0,0.44029576235386103,0.15861707777332934,0.14220367116308213,0.10364823644466593,0.4881826176666764,0.4150187756303774,0.06063466671958661,0.3662659865751568,-0.023985983343819996,0.45505176525929786,0.4906866470613223,0.5512287889879581,0.4346198885592865,0.47607810224668023,0.71673750043751,0.6141164770993411,0.38812386435660373,0.7293720909631937,0.22347215931651424,0.24350640873466,0.030477034207976424,0.12296183725259144,0.15073352773652374,-0.06471070228114507,0.006839961201849496,-0.035738830986528636,0.06421843092229702,0.04149175436190285,0.1169701882680839,0.22930650008169648,0.23007112752044248,0.03153823759036532,-0.043118128636340305,0.05231001098019219,0.0781121886603503,0.14849417133601522,-0.2555759163209514,-0.27933527839402905,-0.0704376931687267
Magnesium_(mg),0.01005762341540609,-0.01197599215507747,-0.06132426542219391,0.021445184474273533,-0.3008018889889737,0.1972031200589183,0.3787062339853022,0.01845202804796653,0.33357218598999044,0.20668895713290714,0.3883153106673382,-0.041354302123225176,0.1159181792360956,0.44029576235386103,1.0,0.27776982776107745,0.445615893189159,-0.05571152300377525,0.45532931219224354,0.6296401254759222,0.38094739419784673,0.2989600041467418,-0.008395402867487335,0.1957836663491676,0.19715145724077443,0.3357786243334875,0.4492750938733138,0.25047447775367443,0.5681851383462408,0.09708278090568129,0.716828669352572,0.4389771667000085,0.11150537602541755,0.25959586461277473,0.01410730482355039,-0.04535971966948961,-0.07453915272656794,-0.05876243060422288,0.04831576164413595,-0.040005055755685054,0.13340971818228306,0.02985876318635593,0.3510654787434582,-0.05051508854174561,-0.05128033309096551,0.035973675999715085,-0.06045004192637747,0.05290587643184615,0.10469843356175045,-0.01296659199940174,-0.14229695344212115,-0.22411945868521588,-0.05130257481110779
Phosphorus_(mg),-0.10954760619441441,-0.036579055756339046,0.0771785770373725,0.00217109455746464,-0.38276835632473366,0.33521962462223825,0.6959918826563749,0.2143666659471405,0.5836397737705988,0.06424403841645315,0.06595752618757061,-0.1540487043794571,0.768064468885735,0.15861707777332934,0.27776982776107745,1.0,0.14879685745957158,0.3246918219597586,0.6516626745208325,0.22823095472038243,0.05578913063575932,0.4017220355145344,0.19967168696306078,0.1837865324737512,0.4337192642804324,0.21437992300641212,0.33809266233929774,0.23085108075725444,0.15004913808982817,0.08852374402214394,0.12325344224546504,0.13657706856614193,0.24029317262120864,0.31592148262920877,-0.06156437899826361,0.06172419187051013,0.13612919062818327,-0.10146877980170947,-0.0875728030176065,-0.07378631204776542,0.008970685434704872,-0.0672845126194701,0.0433453684059722,0.21604824900865902,0.21589474557235638,-0.08534535151108011,0.18817045041807667,0.20452545092081742,0.07233725399709087,0.2614092893316803,-0.2394841541570578,-0.05500966688053139,-0.15651896442133545
Potassium_(mg),-0.036289558864300034,0.024200167992659723,-0.04305305973378003,-0.059281674924661854,-0.2194285914196701,0.10622922451422197,0.1726258740621811,-0.035345527963201236,0.5994597984323208,0.19168669488430776,0.37308320752797697,0.04222173254482321,0.007393808914624193,0.14220367116308213,0.445615893189159,0.14879685745957158,1.0,-0.0714139930095652,0.12752063796593407,0.37412239310299983,0.8750093011854413,0.03547334210991782,0.10045372898618556,0.041016733683329004,0.27650803715525374,0.3305413085223159,0.4193244762021904,0.25168706599677226,0.1507377525311371,-0.04217617217917124,0.260568189644645,0.09060055532144679,0.12999012887380987,-0.031620236886448216,0.11869426144716667,0.02493580111904785,-0.05997952677725301,-0.01610894075294598,0.1535167451676774,0.0087553223047658,0.22231918044545426,0.06874047269591359,0.1325033129184188,0.003463739298692445,0.0027795857501184645,0.06304069035830995,-0.06318604730142889,-0.011670214282634452,0.015996917350833237,0.0015753781575632616,-0.08808505005326864,-0.08565382617580719,0.032377542239243114
